Genus;Species;cluster
Cytophaga;Multi-affiliation;Cluster_1311
unknown genus;unknown species;Cluster_1312
Comamonas;unknown species;Cluster_13123
Aeromonas;unknown species;Cluster_1313
Multi-affiliation;Multi-affiliation;Cluster_13132
Parabacteroides;Parabacteroides sp.;Cluster_1314
Aeromonas;Aeromonas enteropelogenes;Cluster_13143
Desulfovibrio;unknown species;Cluster_13145
Campylobacter;Multi-affiliation;Cluster_13160
Anaerovorax;unknown species;Cluster_13166
Desulfovibrio;unknown species;Cluster_1317
Desulfomicrobium;unknown species;Cluster_13195
Terrisporobacter;Multi-affiliation;Cluster_132
Candidatus Paracaedibacter;unknown species;Cluster_13204
Kluyvera;Kluyvera sp.;Cluster_13212
Prevotella_9;unknown species;Cluster_13214
Christensenellaceae R-7 group;unknown species;Cluster_13224
unknown genus;unknown species;Cluster_13228
[Agitococcus] lubricus group;metagenome;Cluster_13255
Arcobacter;Multi-affiliation;Cluster_13257
Bacteroides;unknown species;Cluster_1326
Proteocatella;unknown species;Cluster_13260
Bacteroides;unknown species;Cluster_13262
Azospirillum;Azospirillum lipoferum;Cluster_13264
Comamonas;Comamonas nitrativorans;Cluster_13269
Lachnotalea;unknown species;Cluster_13276
Lachnoclostridium;[Clostridium] saccharolyticum;Cluster_132820
Novispirillum;Novispirillum itersonii;Cluster_13287
unknown genus;anaerobic digester metagenome;Cluster_13289
Arcobacter;Multi-affiliation;Cluster_13290
Sulfurospirillum;Multi-affiliation;Cluster_13292
Propionivibrio;Propionivibrio dicarboxylicus;Cluster_13295
Dysgonomonas;Dysgonomonas sp.;Cluster_133
Multi-affiliation;Multi-affiliation;Cluster_13302
Multi-affiliation;Multi-affiliation;Cluster_13309
Bifidobacterium;Bifidobacterium angulatum;Cluster_1331
unknown genus;unknown species;Cluster_133197
Butyricicoccus;Multi-affiliation;Cluster_1332
Arthrobacter;Multi-affiliation;Cluster_13335
unknown genus;unknown species;Cluster_13349
Blautia;Multi-affiliation;Cluster_13359
Acetoanaerobium;Multi-affiliation;Cluster_13360
Carboxylicivirga;unknown species;Cluster_1338
Cloacibacterium;Multi-affiliation;Cluster_134
unknown genus;Multi-affiliation;Cluster_1340
Lachnoclostridium;Multi-affiliation;Cluster_13400
Blvii28 wastewater-sludge group;unknown species;Cluster_13401
Flavobacterium;Flavobacterium sp.;Cluster_13402
Candidatus Accumulibacter;unknown species;Cluster_13410
Dechloromonas;unknown species;Cluster_13412
unknown genus;unknown species;Cluster_13433
Aeromonas;unknown species;Cluster_13437
Chryseobacterium;Chryseobacterium bovis;Cluster_134381
Dysgonomonas;unknown species;Cluster_13443
unknown genus;unknown species;Cluster_1345
Acinetobacter;Acinetobacter sp.;Cluster_13460
Anaeromusa-Anaeroarcus;unknown species;Cluster_134682
Lysinibacillus;unknown species;Cluster_13485
Proteocatella;unknown species;Cluster_13486
Microvirgula;Multi-affiliation;Cluster_135
unknown genus;unknown species;Cluster_1350
[Eubacterium] fissicatena group;Multi-affiliation;Cluster_1351
Arcobacter;Multi-affiliation;Cluster_13511
Tolumonas;Tolumonas osonensis;Cluster_135179
Proteus;Multi-affiliation;Cluster_13524
Aeromonas;Multi-affiliation;Cluster_13525
unknown genus;unknown species;Cluster_13536
Aeromonas;Multi-affiliation;Cluster_13555
Buttiauxella;Escherichia sp.;Cluster_13565
Empedobacter;Empedobacter sp.;Cluster_1361
Christensenellaceae R-7 group;human gut metagenome;Cluster_1363
Pseudomonas;unknown species;Cluster_136497
Acinetobacter;unknown species;Cluster_13654
Kosakonia;Atlantibacter hermannii;Cluster_13659
Pectobacterium;Multi-affiliation;Cluster_1366
unknown genus;unknown species;Cluster_1371
unknown genus;wastewater metagenome;Cluster_137273
Odoribacter;Odoribacter laneus;Cluster_137300
Peredibacter;unknown species;Cluster_13735
Alistipes;unknown species;Cluster_1375
Dickeya;Multi-affiliation;Cluster_1376
Acinetobacter;Multi-affiliation;Cluster_1377
Prevotella;Prevotella oryzae;Cluster_1378
Desulfovibrio;Multi-affiliation;Cluster_138042
unknown genus;unknown species;Cluster_1384
Oscillibacter;Lactobacillales bacterium HY-36-1;Cluster_138549
Paludibacterium;Paludibacterium sp.;Cluster_1387
[Eubacterium] brachy group;unknown species;Cluster_1388
RBG-16-49-21;Multi-affiliation;Cluster_1390
Amaricoccus;Multi-affiliation;Cluster_1391
unknown genus;metagenome;Cluster_13923
Multi-affiliation;Multi-affiliation;Cluster_1394
Trichloromonas;Desulfuromonas acetexigens;Cluster_139456
unknown genus;unknown species;Cluster_1395
Pseudoxanthomonas;unknown species;Cluster_1396
unknown genus;unknown species;Cluster_1397
Thermomonas;unknown species;Cluster_1399
Desulfovibrio;unknown species;Cluster_13998
Chitinivorax;metagenome;Cluster_1400
Rurimicrobium;unknown species;Cluster_1402
unknown genus;Bacteroidales bacterium 36-12;Cluster_1405
unknown genus;unknown species;Cluster_14064
Enterococcus;Multi-affiliation;Cluster_1407
Pleomorphomonas;Multi-affiliation;Cluster_140826
Comamonas;unknown species;Cluster_14129
Multi-affiliation;Multi-affiliation;Cluster_14168
Desulfovibrio;Multi-affiliation;Cluster_141758
Tolumonas;Tolumonas auensis;Cluster_1418
Hydrogenoanaerobacterium;unknown species;Cluster_142
unknown genus;gut metagenome;Cluster_1420
Enterobacter;Kosakonia pseudosacchari;Cluster_142171
Barnesiella;Multi-affiliation;Cluster_1422
unknown genus;unknown species;Cluster_142382
Desulfovibrio;Multi-affiliation;Cluster_142453
unknown genus;unknown species;Cluster_14257
Candidatus Electronema;Candidatus Electronema palustris;Cluster_1428
Gallicola;Miniphocibacter massiliensis;Cluster_142846
Dechloromonas;Dechloromonas sp.;Cluster_1429
Aquitalea;Multi-affiliation;Cluster_143
Multi-affiliation;Multi-affiliation;Cluster_1430
unknown genus;unknown species;Cluster_1431
[Agitococcus] lubricus group;Multi-affiliation;Cluster_14316
unknown genus;unknown species;Cluster_1432
Multi-affiliation;Multi-affiliation;Cluster_1433
Desulfovibrio;unknown species;Cluster_1435
JTB215;bacterium str. 77003;Cluster_1436
unknown genus;unknown species;Cluster_1440
Anaerostignum;[Clostridium] neopropionicum;Cluster_144056
Desulfonema;unknown species;Cluster_1441
Pseudochrobactrum;Multi-affiliation;Cluster_14416
Enterococcus;Multi-affiliation;Cluster_144167
Acinetobacter;unknown species;Cluster_1442
unknown genus;Multi-affiliation;Cluster_1443
Cellvibrio;Cellvibrio gandavensis;Cluster_1444
Diaphorobacter;Multi-affiliation;Cluster_1445
Acinetobacter;Acinetobacter rudis CIP 110305;Cluster_144603
Eggerthella;Eggerthella lenta;Cluster_144701
Aeromonas;Aeromonas sp.;Cluster_145
unknown genus;unknown species;Cluster_1451
[Agitococcus] lubricus group;unknown species;Cluster_1453
unknown genus;unknown species;Cluster_145388
Vitreoscilla;unknown species;Cluster_14543
Prevotella_9;unknown species;Cluster_145606
Kluyvera;Kluyvera sp.;Cluster_14580
Aeromonas;unknown species;Cluster_1459
Enterobacter;unknown species;Cluster_14622
Multi-affiliation;Multi-affiliation;Cluster_1463
Paraprevotella;unknown species;Cluster_1464
Desulfovibrio;Multi-affiliation;Cluster_146748
Flavobacterium;unknown species;Cluster_14681
[Eubacterium] nodatum group;Multi-affiliation;Cluster_146824
unknown genus;unknown species;Cluster_14690
Serratia;Multi-affiliation;Cluster_147
Multi-affiliation;Multi-affiliation;Cluster_1470
unknown genus;unknown species;Cluster_1472
Tissierella;unknown species;Cluster_14724
unknown genus;unknown species;Cluster_1473
Hydrogenophaga;Hydrogenophaga pseudoflava;Cluster_1474
Comamonas;Comamonas koreensis;Cluster_1478
Multi-affiliation;Multi-affiliation;Cluster_1479
Desulfovibrio;Multi-affiliation;Cluster_147908
Anaerofilum;Multi-affiliation;Cluster_148
unknown genus;metagenome;Cluster_1480
unknown genus;gut metagenome;Cluster_148228
Desulfovibrio;Desulfovibrio sp.;Cluster_148256
unknown genus;unknown species;Cluster_1483
Desulfovibrio;Desulfovibrio simplex;Cluster_148438
unknown genus;unknown species;Cluster_1485
Paludibacter;unknown species;Cluster_1488
Acidovorax;Acidovorax soli;Cluster_1489
Psychrobacter;Multi-affiliation;Cluster_1495
Intestinibacter;Multi-affiliation;Cluster_1496
Streptococcus;Multi-affiliation;Cluster_149868
Aeromonas;Multi-affiliation;Cluster_1499
Desulfovibrio;Multi-affiliation;Cluster_15
unknown genus;unknown species;Cluster_15039
Deefgea;Multi-affiliation;Cluster_15058
Proteocatella;unknown species;Cluster_1508
Thermomonas;unknown species;Cluster_1509
Clostridium sensu stricto 2;Clostridium hydrogeniformans;Cluster_151
Desulfovibrio;unknown species;Cluster_1512
unknown genus;unknown species;Cluster_151221
Vitreoscilla;metagenome;Cluster_1516
Aurantisolimonas;unknown species;Cluster_1517
Dokdonella;unknown species;Cluster_1518
Pleomorphomonas;Multi-affiliation;Cluster_151856
Candidatus Accumulibacter;beta proteobacterium pACH94;Cluster_1519
Candidatus Schmidhempelia;unknown species;Cluster_152
Tsukamurella;Multi-affiliation;Cluster_1520
Nocardioides;unknown species;Cluster_1521
Crocinitomix;metagenome;Cluster_1522
Multi-affiliation;Multi-affiliation;Cluster_1523
Cellvibrio;unknown species;Cluster_152359
Erysipelothrix;Erysipelothrix larvae;Cluster_1524
unknown genus;unknown species;Cluster_152418
unknown genus;unknown species;Cluster_1525
Comamonas;Multi-affiliation;Cluster_15258
unknown genus;unknown species;Cluster_152794
Alicycliphilus;unknown species;Cluster_153665
Flavobacterium;Multi-affiliation;Cluster_153895
Spirochaeta 2;unknown species;Cluster_15390
Candidatus Accumulibacter;beta proteobacterium pACH94;Cluster_154
[Eubacterium] ruminantium group;Multi-affiliation;Cluster_1543
Aeromonas;Multi-affiliation;Cluster_1544
Candidatus Alysiosphaera;Multi-affiliation;Cluster_15456
Acinetobacter;Multi-affiliation;Cluster_1546
Cloacibacterium;unknown species;Cluster_154656
unknown genus;unknown species;Cluster_1548
Sulfuritalea;unknown species;Cluster_1557
Pedomicrobium;unknown species;Cluster_1559
Pseudoxanthomonas;Multi-affiliation;Cluster_1560
Lentimicrobium;unknown species;Cluster_1561
Acetoanaerobium;Multi-affiliation;Cluster_156191
unknown genus;unknown species;Cluster_1562
Parasutterella;Multi-affiliation;Cluster_156257
unknown genus;unknown species;Cluster_1563
Desulfovibrio;unknown species;Cluster_1564
unknown genus;unknown species;Cluster_1565
Bryobacter;unknown species;Cluster_15651
Salinispira;unknown species;Cluster_1567
Multi-affiliation;Multi-affiliation;Cluster_1568
unknown genus;bacterium enrichment culture clone M624;Cluster_1569
Clostridium sensu stricto 3;Multi-affiliation;Cluster_157
Desulfovibrio;Desulfovibrio putealis;Cluster_1572
Edwardsiella;Edwardsiella tarda;Cluster_1573
unknown genus;unknown species;Cluster_157456
unknown genus;unknown species;Cluster_1577
Aeromonas;Multi-affiliation;Cluster_1578
Leptotrichia;metagenome;Cluster_158
Aeromonas;Multi-affiliation;Cluster_1581
Methyloversatilis;Methyloversatilis sp.;Cluster_1584
Aeromonas;Multi-affiliation;Cluster_1585
Proteocatella;unknown species;Cluster_158690
Aeromonas;metagenome;Cluster_159
Multi-affiliation;Multi-affiliation;Cluster_1590
Coxiella;unknown species;Cluster_15941
Desulfovibrio;Multi-affiliation;Cluster_1597
Aeromonas;Multi-affiliation;Cluster_1599
Colidextribacter;Multi-affiliation;Cluster_160
Paludibacter;unknown species;Cluster_1606
Candidatus Competibacter;metagenome;Cluster_1617
RBG-16-49-21;metagenome;Cluster_1618
Faecalibacterium;Multi-affiliation;Cluster_162
WCHB1-32;unknown species;Cluster_1620
OM27 clade;unknown species;Cluster_1621
Chitinivorax;metagenome;Cluster_1622
unknown genus;unknown species;Cluster_1623
Multi-affiliation;Multi-affiliation;Cluster_1627
DSSF69;unknown species;Cluster_1629
Pseudomonas;Multi-affiliation;Cluster_16296
Pelomonas;Pelomonas sp.;Cluster_1630
Inhella;unknown species;Cluster_1631
[Desulfobacterium] catecholicum group;unknown species;Cluster_1633
Dysgonomonas;Dysgonomonas sp.;Cluster_1637
Vogesella;Vogesella sp.;Cluster_164
Sulfurospirillum;Multi-affiliation;Cluster_1642
Prevotella_9;unknown species;Cluster_16427
[Agitococcus] lubricus group;Multi-affiliation;Cluster_1644
Parabacteroides;unknown species;Cluster_1648
unknown genus;metagenome;Cluster_1651
Moraxella;Multi-affiliation;Cluster_1657
Aeromonas;Multi-affiliation;Cluster_1660
Thiothrix;unknown species;Cluster_1662
Paludibacter;unknown species;Cluster_16635
Formivibrio;metagenome;Cluster_1675
Roseomonas;Roseomonas lacus;Cluster_1677
unknown genus;metagenome;Cluster_1679
Herbaspirillum;Herbaspirillum sp.;Cluster_1681
Ketobacter;unknown species;Cluster_1682
unknown genus;unknown species;Cluster_1686
Gordonia;Gordonia caeni;Cluster_1692
Telmatospirillum;unknown species;Cluster_17
Succinispira;Succinispira mobilis;Cluster_1700
Acetobacteroides;unknown species;Cluster_1702
Alkanindiges;unknown species;Cluster_1709
Myroides;Myroides marinus;Cluster_171
Roseobacter clade CHAB-I-5 lineage;unknown species;Cluster_1719
Alcaligenes;Multi-affiliation;Cluster_172
unknown genus;Idiomarina sp.;Cluster_1725
unknown genus;unknown species;Cluster_1726
Bdellovibrio;metagenome;Cluster_17261
Parasutterella;Multi-affiliation;Cluster_1736
BD1-7 clade;unknown species;Cluster_17363
unknown genus;metagenome;Cluster_17390
Dialister;Dialister succinatiphilus;Cluster_1740
Aeromonas;unknown species;Cluster_1741
Formivibrio;metagenome;Cluster_1744
Pseudopelobacter;bacterium enrichment culture clone GD-A-9;Cluster_1749
Acinetobacter;Acinetobacter guillouiae;Cluster_175
Multi-affiliation;Multi-affiliation;Cluster_1750
unknown genus;Multi-affiliation;Cluster_1754
unknown genus;unknown species;Cluster_1756
Pajaroellobacter;unknown species;Cluster_1757
unknown genus;unknown species;Cluster_1759
unknown genus;unknown species;Cluster_176
Flavobacterium;Flavobacterium verecundum;Cluster_17606
Roseomonas;Multi-affiliation;Cluster_1761
unknown genus;unknown species;Cluster_1762
Empedobacter;Empedobacter sp.;Cluster_1763
Flavobacterium;unknown species;Cluster_1764
Pedobacter;Multi-affiliation;Cluster_1765
Candidatus Schmidhempelia;unknown species;Cluster_1766
Pricia;unknown species;Cluster_1767
Defluviicoccus;unknown species;Cluster_1768
unknown genus;metagenome;Cluster_17687
Paucibacter;Paucibacter toxinivorans;Cluster_1769
Parabacteroides;unknown species;Cluster_177
unknown genus;unknown species;Cluster_1770
unknown genus;unknown species;Cluster_1773
Inhella;Inhella inkyongensis;Cluster_1774
Erwinia;Enterobacteriales bacterium endosymbiont of Nilaparvata lugens;Cluster_1775
Desulfovibrio;microbial mat metagenome;Cluster_1777
Multi-affiliation;Multi-affiliation;Cluster_1778
Desulfatiferula;unknown species;Cluster_1781
Multi-affiliation;Multi-affiliation;Cluster_17878
Aeromonas;Multi-affiliation;Cluster_1788
Dysgonomonas;Dysgonomonas termitidis;Cluster_179
Paludibaculum;unknown species;Cluster_17916
Enterobacter;Multi-affiliation;Cluster_17922
Bacteroides;Bacteroidaceae bacterium MS4;Cluster_1793
unknown genus;unknown species;Cluster_1796
Undibacterium;unknown species;Cluster_1797
unknown genus;beta proteobacterium Rufe9;Cluster_1798
Leadbetterella;unknown species;Cluster_17995
unknown genus;unknown species;Cluster_17996
Sulfurospirillum;Multi-affiliation;Cluster_180
Trichloromonas;Desulfuromonas michiganensis;Cluster_18002
Acinetobacter;Acinetobacter xiamenensis;Cluster_18004
Candidatus Schmidhempelia;unknown species;Cluster_18020
Myroides;Myroides odoratimimus CIP 101113;Cluster_1807
Bacteroides;Multi-affiliation;Cluster_18075
Comamonas;bacterium 28W222;Cluster_181
Dysgonomonas;unknown species;Cluster_1814
Empedobacter;Empedobacter brevis;Cluster_1817
Sanguibacter-Flavimobilis;Flavimobilis soli;Cluster_1820
unknown genus;unknown species;Cluster_1821
Desulfovibrio;Multi-affiliation;Cluster_1825
unknown genus;metagenome;Cluster_1826
Desulfovibrio;unknown species;Cluster_1827
unknown genus;unknown species;Cluster_1828
Desulfovibrio;Desulfovibrio paquesii;Cluster_1829
Pantoea;Pantoea allii;Cluster_1830
unknown genus;unknown species;Cluster_1831
Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5;Cluster_1834
unknown genus;unknown species;Cluster_1835
possible genus 03;unknown species;Cluster_1836
unknown genus;unknown species;Cluster_1842
Fluviicola;unknown species;Cluster_18438
Candidatus Electronema;Candidatus Electronema nielsenii;Cluster_18449
Multi-affiliation;Multi-affiliation;Cluster_1846
Giesbergeria;Giesbergeria voronezhensis;Cluster_1847
Peredibacter;Bacteriovorax sp.;Cluster_1848
Leptothrix;unknown species;Cluster_1849
Bacillus;Multi-affiliation;Cluster_185
Paludibacterium;Multi-affiliation;Cluster_18505
unknown genus;unknown species;Cluster_1852
Multi-affiliation;Multi-affiliation;Cluster_1855
Terrisporobacter;unknown species;Cluster_1858
Moraxella;Multi-affiliation;Cluster_1864
Bacteroides;Bacteroides clarus;Cluster_1869
Dysgonomonas;unknown species;Cluster_1873
unknown genus;unknown species;Cluster_18747
unknown genus;unknown species;Cluster_1876
Rheinheimera;unknown species;Cluster_18778
Multi-affiliation;Multi-affiliation;Cluster_188
Phenylobacterium;Multi-affiliation;Cluster_1888
Proteocatella;unknown species;Cluster_1890
Flavobacterium;Flavobacterium sp.;Cluster_1892
Lachnospiraceae NK4B4 group;unknown species;Cluster_18953
Desulfovibrio;Multi-affiliation;Cluster_1896
Butyrivibrio;Butyrivibrio crossotus;Cluster_1897
Peptostreptococcus;Peptostreptococcus russellii;Cluster_19
unknown genus;[Clostridium] sporosphaeroides;Cluster_190
unknown genus;unknown species;Cluster_1902
Sulfurimonas;unknown species;Cluster_1906
Aeromonas;Multi-affiliation;Cluster_1907
Multi-affiliation;Multi-affiliation;Cluster_1908
Acinetobacter;Acinetobacter pragensis;Cluster_1909
Acinetobacter;Multi-affiliation;Cluster_191
unknown genus;metagenome;Cluster_19131
unknown genus;unknown species;Cluster_1914
Erythrobacter;Erythrobacter sp.;Cluster_19152
Fusibacter;unknown species;Cluster_1916
unknown genus;unknown species;Cluster_1917
Turneriella;metagenome;Cluster_1918
Myroides;Multi-affiliation;Cluster_19181
unknown genus;unknown species;Cluster_1920
Bacteriovorax;Bacteriovorax sp.;Cluster_1921
WCHB1-32;unknown species;Cluster_1922
unknown genus;unknown species;Cluster_1923
Iamia;Multi-affiliation;Cluster_1924
RBG-16-49-21;unknown species;Cluster_1927
Ohtaekwangia;unknown species;Cluster_1928
Budvicia;Budvicia sp.;Cluster_193
Gemmatimonas;unknown species;Cluster_1930
Paludibacter;unknown species;Cluster_1931
Desulfovibrio;Desulfovibrio sp.;Cluster_1935
Desulforegula;unknown species;Cluster_1936
Pseudochrobactrum;Multi-affiliation;Cluster_1939
Rheinheimera;Multi-affiliation;Cluster_1942
Pectobacterium;Pectobacterium wasabiae CFBP 3304;Cluster_19421
Chromobacterium;Multi-affiliation;Cluster_1943
Lactococcus;Multi-affiliation;Cluster_1944
Sphingopyxis;Multi-affiliation;Cluster_1945
Propionivibrio;unknown species;Cluster_19467
unknown genus;unknown species;Cluster_1947
Hafnia-Obesumbacterium;Multi-affiliation;Cluster_195
Acinetobacter;Multi-affiliation;Cluster_19549
Dysgonomonas;Dysgonomonas sp.;Cluster_19551
unknown genus;Multi-affiliation;Cluster_1958
UCG-009;unknown species;Cluster_196
Erwinia;Pantoea coffeiphila;Cluster_1964
Acinetobacter;unknown species;Cluster_1966
Enterobacter;Multi-affiliation;Cluster_1970
unknown genus;Multi-affiliation;Cluster_1977
Aestuariimicrobium;actinobacterium MH3-4;Cluster_19808
CAG-873;Multi-affiliation;Cluster_1985
Aeromonas;Multi-affiliation;Cluster_1989
Kerstersia;unknown species;Cluster_199
Uliginosibacterium;unknown species;Cluster_1991
Thermomonas;Multi-affiliation;Cluster_1992
Aeromonas;Multi-affiliation;Cluster_1997
Bacteroides;unknown species;Cluster_19996
Fusobacterium;Multi-affiliation;Cluster_2
Citrobacter;Freundii;Cluster_20
Desulfovibrio;unknown species;Cluster_2004
unknown genus;metagenome;Cluster_2007
Prevotella_9;Multi-affiliation;Cluster_201
Prevotella_7;Prevotella sp.;Cluster_2011
unknown genus;unknown species;Cluster_2014
Dysgonomonas;Dysgonomonas sp.;Cluster_20152
Multi-affiliation;Multi-affiliation;Cluster_2016
Brachybacterium;Multi-affiliation;Cluster_20168
Ferribacterium;Multi-affiliation;Cluster_2017
unknown genus;unknown species;Cluster_2019
unknown genus;Leptothrix sp.;Cluster_2020
Aquamicrobium;Multi-affiliation;Cluster_2021
Proteocatella;Proteocatella sphenisci;Cluster_2022
unknown genus;unknown species;Cluster_2023
Desulforegula;unknown species;Cluster_2024
Beggiatoa;unknown species;Cluster_2026
Pseudoxanthomonas;Pseudoxanthomonas kaohsiungensis;Cluster_2028
unknown genus;unknown species;Cluster_2029
CL500-29 marine group;metagenome;Cluster_2030
RBG-16-49-21;metagenome;Cluster_2032
WCHB1-32;unknown species;Cluster_2033
Candidatus Paracaedibacter;Multi-affiliation;Cluster_2038
unknown genus;bacterium enrichment culture clone M624;Cluster_2039
Simplicispira;Simplicispira metamorpha;Cluster_204
Prevotella_9;Prevotellaceae bacterium WR041;Cluster_2041
Aquaspirillum;Aquaspirillum putridiconchylium;Cluster_2042
unknown genus;unknown species;Cluster_2043
Falsochrobactrum;Multi-affiliation;Cluster_2048
Tolumonas;unknown species;Cluster_20497
Eubacterium;Eubacterium sp.;Cluster_2055
Testudinibacter;Testudinibacter aquarius;Cluster_2057
Parabacteroides;unknown species;Cluster_20603
Dysgonomonas;Dysgonomonas macrotermitis;Cluster_2061
Telmatospirillum;unknown species;Cluster_2064
Gallicola;Peptostreptococcaceae bacterium SK031;Cluster_2065
unknown genus;unknown species;Cluster_2071
Aeromonas;metagenome;Cluster_2073
Providencia;Providencia stuartii;Cluster_2074
Bifidobacterium;Multi-affiliation;Cluster_208
Desulfovibrio;Multi-affiliation;Cluster_20802
Leptotrichia;unknown species;Cluster_2084
Magnetospirillum;Dechlorospirillum sp.;Cluster_20858
[Eubacterium] ventriosum group;unknown species;Cluster_2087
Aeromonas;unknown species;Cluster_2090
Desulfovibrio;Multi-affiliation;Cluster_2092
Dysgonomonas;unknown species;Cluster_2093
unknown genus;unknown species;Cluster_2095
UCG-009;unknown species;Cluster_2096
UCG-003;Multi-affiliation;Cluster_2098
Lachnoclostridium;[Clostridium] celerecrescens;Cluster_20996
JTB215;bacterium str. 77003;Cluster_21
Lachnospiraceae (ma);Multi-affiliation;Cluster_210
unknown genus;unknown species;Cluster_21022
Flavobacterium;Multi-affiliation;Cluster_2104
Mitsuokella;Multi-affiliation;Cluster_2108
unknown genus;unknown species;Cluster_2120
Rhizobacter;unknown species;Cluster_2121
BSV13;unknown species;Cluster_2122
unknown genus;unknown species;Cluster_2123
Multi-affiliation;Multi-affiliation;Cluster_2124
Micrococcus;Multi-affiliation;Cluster_2127
Crocinitomix;metagenome;Cluster_2129
Cytophaga;unknown species;Cluster_2132
Multi-affiliation;Multi-affiliation;Cluster_21346
Limnobacter;Limnobacter litoralis;Cluster_2136
unknown genus;unknown species;Cluster_2138
Desulforegula;Multi-affiliation;Cluster_2139
Gordonia;Multi-affiliation;Cluster_2142
Multi-affiliation;Multi-affiliation;Cluster_2144
Enterobacter;unknown species;Cluster_21456
Sutterella;metagenome;Cluster_21458
WCHB1-32;unknown species;Cluster_2148
unknown genus;unknown species;Cluster_2155
Desulfovibrio;unknown species;Cluster_21566
Kaistia;Multi-affiliation;Cluster_2157
Arcobacter;Multi-affiliation;Cluster_216
Pseudochrobactrum;Multi-affiliation;Cluster_2161
Pragia;Pragia sp.;Cluster_2162
Flavobacterium;Multi-affiliation;Cluster_2166
Tyzzerella;unknown species;Cluster_217
Acinetobacter;Acinetobacter xiamenensis;Cluster_21710
Dysgonomonas;Dysgonomonas sp.;Cluster_2172
Dysgonomonas;Multi-affiliation;Cluster_2174
Prevotellaceae UCG-001;unknown species;Cluster_21746
Gemella;Gemella sanguinis;Cluster_21748
unknown genus;unknown species;Cluster_21762
Faecalibacterium;Multi-affiliation;Cluster_21769
Defluviicoccus;Multi-affiliation;Cluster_218
Lentimicrobium;unknown species;Cluster_2182
Beggiatoa;unknown species;Cluster_2185
GCA-900066575;unknown species;Cluster_21864
Marvinbryantia;Multi-affiliation;Cluster_2188
Collinsella;Multi-affiliation;Cluster_219
Edaphobaculum;unknown species;Cluster_21926
[Agitococcus] lubricus group;unknown species;Cluster_21963
Anaerocella;unknown species;Cluster_2201
Flavobacterium;Multi-affiliation;Cluster_2202
Candidatus Riegeria;unknown species;Cluster_2208
Leucobacter;Multi-affiliation;Cluster_221
Arcobacter;Multi-affiliation;Cluster_2215
Comamonas;Comamonas koreensis;Cluster_2217
Formivibrio;unknown species;Cluster_2218
Alloprevotella;unknown species;Cluster_2225
Proteocatella;Multi-affiliation;Cluster_22272
Prevotella;unknown species;Cluster_2229
Taibaiella;unknown species;Cluster_22292
Rhizobacter;Multi-affiliation;Cluster_2231
Cytophaga;unknown species;Cluster_2233
Prevotellaceae NK3B31 group;unknown species;Cluster_22348
Pajaroellobacter;unknown species;Cluster_2236
Aeromicrobium;Multi-affiliation;Cluster_2237
Corynebacterium;Corynebacterium vitaeruminis;Cluster_2239
unknown genus;unknown species;Cluster_22413
unknown genus;unknown species;Cluster_22423
unknown genus;metagenome;Cluster_2243
unknown genus;unknown species;Cluster_2244
Ruminiclostridium;unknown species;Cluster_2245
Stella;Multi-affiliation;Cluster_22451
Defluviicoccus;unknown species;Cluster_2250
unknown genus;Dyadobacter sp.;Cluster_2251
Haliangium;unknown species;Cluster_2252
Morganella;Multi-affiliation;Cluster_22536
HdN1;gamma proteobacterium HdN1;Cluster_2255
unknown genus;unknown species;Cluster_22566
Acetobacteroides;unknown species;Cluster_2258
Azospira;Multi-affiliation;Cluster_226
Geothrix;Multi-affiliation;Cluster_2260
Candidatus Koribacter;unknown species;Cluster_2265
Pseudochrobactrum;Multi-affiliation;Cluster_2269
Hafnia;Multi-affiliation;Cluster_227
Desulfovibrio;unknown species;Cluster_2272
Clostridium sensu stricto 3;Clostridiaceae bacterium;Cluster_2275
unknown genus;unknown species;Cluster_2276
Aeromonas;unknown species;Cluster_2277
unknown genus;unknown species;Cluster_2283
Flavobacterium;metagenome;Cluster_2285
Desulfovibrio;unknown species;Cluster_2286
unknown genus;unknown species;Cluster_2287
Prevotella_7;Multi-affiliation;Cluster_2292
Acinetobacter;unknown species;Cluster_22953
Citrobacter/Kluyvera;Multi-affiliation;Cluster_23
Chryseobacterium;Chryseobacterium yonginense;Cluster_2301
unknown genus;unknown species;Cluster_23019
Desulfovibrio;Brachyspira sp.;Cluster_23066
Acinetobacter;Acinetobacter sp.;Cluster_2307
Comamonas;Acidovorax sp.;Cluster_23097
Klebsiella;bacterium spb30B3-5;Cluster_231
Flavobacterium;Flavobacterium tegetincola;Cluster_2310
unknown genus;unknown species;Cluster_2312
Alkanindiges;unknown species;Cluster_2315
Aeromonas;Aeromonas hydrophila;Cluster_2317
Mycobacterium;Multi-affiliation;Cluster_232
Flavobacterium;Flavobacterium sp.;Cluster_2326
Zoogloea;Zoogloea oryzae;Cluster_2327
Fluviicola;Multi-affiliation;Cluster_2329
Dysgonomonas;unknown species;Cluster_2335
Arcobacter;Multi-affiliation;Cluster_2340
Arcobacter;Multi-affiliation;Cluster_2346
Haliangium;metagenome;Cluster_23532
Multi-affiliation;Multi-affiliation;Cluster_2354
Cellvibrio;Cellvibrio gandavensis;Cluster_23608
Aeromonas;unknown species;Cluster_2361
Bacteroides;Multi-affiliation;Cluster_2364
Carboxylicivirga;unknown species;Cluster_2370
